Sort1,Sort2,Sort3,ECDS_Group1,ECDS_Group2,ECDS_Group3,ECDS_Description,SNOMED_Code,SNOMED_Description
11,11,11,Soft tissue inj / wound,Wound : lac / incised / bite,Head,Wound : lac / incised / bite : head,38354005,Open wound of head (disorder)
11,11,21,Soft tissue inj / wound,Wound : lac / incised / bite,Face,Wound : lac / incised / bite : face,210339009,Open wound of face (disorder)
11,11,23,Soft tissue inj / wound,Wound : lac / incised / bite,Lip,Wound : lac / incised / bite : lip,210344002,Open wound of lip (disorder)
11,11,28,Soft tissue inj / wound,Wound : lac / incised / bite,Neck,Wound : lac / incised / bite : neck ,125644007,Open wound of neck (disorder)
11,11,30,Soft tissue inj / wound,Wound : lac / incised / bite,Shoulder,Wound : lac / incised / bite : shoulder,125645008,Open wound of shoulder region (disorder)
11,11,31,Soft tissue inj / wound,Wound : lac / incised / bite,Upper arm,Wound : lac / incised / bite : upper arm,125648005,Open wound of upper arm (disorder)
11,11,32,Soft tissue inj / wound,Wound : lac / incised / bite,Elbow,Wound : lac / incised / bite : elbow,125650002,Open wound of elbow (disorder)
11,11,33,Soft tissue inj / wound,Wound : lac / incised / bite,Forearm,Wound : lac / incised / bite : forearm,125649002,Open wound of forearm (disorder)
11,11,35,Soft tissue inj / wound,Wound : lac / incised / bite,Hand,Wound : lac / incised / bite : hand,125652005,Open wound of hand (disorder)
11,11,37,Soft tissue inj / wound,Wound : lac / incised / bite,Thumb,Wound : lac / incised / bite : thumb,125654006,Open wound of thumb (disorder)
11,11,39,Soft tissue inj / wound,Wound : lac / incised / bite,Finger,Wound : lac / incised / bite : finger,125653000,Open wound of finger (disorder)
11,11,51,Soft tissue inj / wound,Wound : lac / incised / bite,Thigh,Wound : lac / incised / bite : thigh,125659001,Open wound of thigh (disorder)
11,11,53,Soft tissue inj / wound,Wound : lac / incised / bite,Knee,Wound : lac / incised / bite : knee,125660006,Open wound of knee (disorder)
11,11,55,Soft tissue inj / wound,Wound : lac / incised / bite,Lower leg,Wound : lac / incised / bite : lower leg,125661005,Open wound of lower leg (disorder)
11,11,57,Soft tissue inj / wound,Wound : lac / incised / bite,Foot,Wound : lac / incised / bite : foot,125663008,Open wound of foot (disorder)
11,11,59,Soft tissue inj / wound,Wound : lac / incised / bite,Toe,Wound : lac / incised / bite : toe,125664002,Open wound of toe (disorder)
11,11,81,Soft tissue inj / wound,Wound : lac / incised / bite,Back,Wound : lac / incised / bite : back ,269169002,Open wound of back (disorder)
11,11,85,Soft tissue inj / wound,Wound : lac / incised / bite,Thorax,Wound : lac / incised / bite : thorax,127314000,Open wound of chest wall (disorder)
11,11,91,Soft tissue inj / wound,Wound : lac / incised / bite,Abdomen,Wound : lac / incised / bite : abdomen,274170000,Open wound of abdominal wall (disorder)
11,11,95,Soft tissue inj / wound,Wound : lac / incised / bite,Perineum,Wound : lac / incised / bite : perineum,210484005,Open wound of perineum (disorder)
11,21,11,Soft tissue inj / wound,Sprain / ligament injury,Cervical spine,Sprain / ligament injury : cervical spine,209557005,Neck sprain (disorder)
11,21,12,Soft tissue inj / wound,Sprain / ligament injury,Thoracic spine,Sprain / ligament injury : thoracic spine,274162005,Thoracic back sprain (disorder)
11,21,13,Soft tissue inj / wound,Sprain / ligament injury,Lumbar spine,Sprain / ligament injury : lumbar spine,209565008,Lumbar sprain (disorder)
11,21,31,Soft tissue inj / wound,Sprain / ligament injury,Shoulder joint,Sprain / ligament injury : shoulder joint,3199001,Sprain of shoulder (disorder)
11,21,33,Soft tissue inj / wound,Sprain / ligament injury,Elbow joint,Sprain / ligament injury : elbow joint,263128001,Sprain of ligament of elbow (disorder)
11,21,35,Soft tissue inj / wound,Sprain / ligament injury,Wrist joint,Sprain / ligament injury : wrist joint,70704007,Sprain of wrist (disorder)
11,21,37,Soft tissue inj / wound,Sprain / ligament injury,Hand,Sprain / ligament injury : hand,87778004,Sprain of hand (disorder)
11,21,39,Soft tissue inj / wound,Sprain / ligament injury,Thumb,Sprain / ligament injury : thumb,263130004,Sprain of ligament of thumb (disorder)
11,21,43,Soft tissue inj / wound,Sprain / ligament injury,Finger,Sprain / ligament injury : finger,263129009,Sprain of ligament of finger (disorder)
11,21,51,Soft tissue inj / wound,Sprain / ligament injury,Hip joint,Sprain / ligament injury : hip joint,17883008,Sprain of hip (disorder)
11,21,53,Soft tissue inj / wound,Sprain / ligament injury,Knee joint,Sprain / ligament injury : knee joint,54888009,Sprain of knee (disorder)
11,21,55,Soft tissue inj / wound,Sprain / ligament injury,Ankle joint,Sprain / ligament injury : ankle joint,44465007,Sprain of ankle (disorder)
11,21,57,Soft tissue inj / wound,Sprain / ligament injury,Foot,Sprain / ligament injury : foot,49388007,Sprain of foot (disorder)
11,21,59,Soft tissue inj / wound,Sprain / ligament injury,Toe,Sprain / ligament injury : toe,262998001,Sprain of toe joint (disorder)
11,31,11,Soft tissue inj / wound,Bruise / contusion / abrasion,Head,Bruise / contusion / abrasion : head,283025007,Superficial injury of head (disorder)
