LSOA_code_2011,Index_of_Multiple_Deprivation_IMD_Rank,Index_of_Multiple_Deprivation_IMD_Decile,Income_Rank,Employment_Rank,Education_Skills_and_Training_Rank,Health_Deprivation_and_Disability_Rank,Crime_Rank,Barriers_to_Housing_and_Services_Rank,Living_Environment_Rank,Income_Deprivation_Affecting_Children_Index_Rank,Income_Deprivation_Affecting_Older_People_Rank,Children_and_Young_People_Subdomain_Rank,Adult_Skills_Subdomain_Rank,Geographical_Barriers_Subdomain_Rank,Wider_Barriers_Subdomain_Rank,Indoors_Subdomain_Rank,Outdoors_Subdomain_Rank,Total_population_mid_2015,Dependent_Children_aged_0_15_mid_2015,Population_aged_16_59_mid_2015,Older_population_aged_60_and_over_mid_2015,Working_age_population_18_59_64
E01027699,32843,10,32828,32622,32610,31950,32229,28239,27923,32732,32831,32535,32015,13939,30799,28089,19275,1351,220,608,523,610
E01013427,32833,10,31566,30848,32583,30311,32712,32023,30365,30855,30800,32410,32059,21690,31860,30143,23184,1426,248,652,526,645
E01027615,32792,10,31272,30547,29683,30878,32760,28975,31707,29418,32641,28622,28823,14366,32036,31021,26867,1229,198,618,413,627
E01027698,32791,10,31218,31406,32248,29937,31930,29709,27611,30511,32125,32087,31352,18053,27527,25489,22577,1590,286,793,511,788
E01013452,32779,10,30349,30510,31555,28433,32678,32844,30028,32045,28182,31361,30352,32415,31895,27197,27193,1600,345,776,479,787
E01013424,32758,10,32202,31357,31913,28385,31635,32427,23778,32744,31305,31625,30973,25430,30298,28177,11360,1312,243,705,364,727
E01027700,32732,10,32415,31805,32411,26381,32742,25629,28578,32724,29778,32383,31514,11275,30609,26548,23512,1176,211,575,390,590
E01013060,32721,10,30974,32540,28020,27145,32311,29571,30976,27413,31427,26946,27129,20508,23921,28831,27714,1873,284,914,675,913
E01013423,32720,10,32492,31382,31464,28643,32739,27645,24692,32707,32541,30944,30573,12589,32266,28792,12259,1275,215,576,484,608
E01027683,32706,10,30582,30933,30862,29759,31677,25937,30816,31567,27631,30571,29505,13240,26747,29424,25971,1434,260,815,359,815
E01027662,32708,10,32794,31880,32527,30788,32723,19939,26836,32775,32828,32667,31624,7323,31047,21127,29758,1370,262,683,425,691
E01027880,32647,10,31047,27486,29053,30826,30472,32031,31759,30466,32281,29621,26605,21452,32243,29922,29058,1635,266,831,538,843
E01013402,32644,10,32306,32705,30903,30168,32554,19390,27415,29485,31867,32097,28205,15529,14309,25152,22598,1919,186,1275,458,1293
E01013340,32630,10,32664,31423,32350,28314,32003,32605,17825,32773,32678,32361,31371,29165,28392,14482,18342,1346,273,683,390,691
E01027641,32624,10,32160,31093,29529,29280,32635,20481,31721,32717,32344,29530,27590,8026,29525,32272,24858,1240,207,773,260,783
E01013371,32606,10,31729,28585,30643,28907,32358,25623,30491,31970,31648,31461,28213,11923,28973,29159,25247,1417,224,735,458,780
E01013433,32474,10,30562,31658,27171,27546,30967,25243,29852,30732,27372,30187,22765,11331,29638,29918,21901,1432,207,730,495,739
E01027901,32449,10,29647,28394,24391,31624,32786,32722,28699,26029,30458,22318,24746,27292,32399,23768,29812,1693,300,888,505,907
E01027733,32403,10,29277,30965,32565,29329,25807,27547,25522,32288,22038,32445,31961,13311,30295,22370,22629,1328,285,651,392,662
E01027623,32383,10,30054,27243,31656,29164,30721,30843,25221,24903,32107,31904,30093,17405,32680,25689,16502,1274,184,589,501,598
E01013440,32348,10,29511,30010,27652,29335,30762,24976,30192,29766,28442,29777,23905,12294,26801,29474,23661,1839,334,995,510,1022
E01027607,32332,10,32252,26426,28506,29801,32171,22535,32295,31700,32485,29473,25660,8509,32149,31951,28248,1183,124,516,543,538
E01013451,32317,10,30144,30893,29356,29225,32539,24545,22956,27933,28729,27342,29430,10538,30146,16893,28624,1250,275,718,257,710
E01027671,32303,10,32149,28154,30885,29326,32212,18958,29361,32778,30797,29672,30457,6907,30765,26929,25319,1523,273,767,483,767
E01027715,32281,10,29209,30693,25095,28252,32042,31388,25638,30319,26774,23325,25053,27750,22340,21392,25112,1185,336,629,220,601
E01013374,32253,10,32629,29901,28432,26657,31397,20916,28137,32765,32596,27521,27333,8016,30518,24947,25111,1554,262,822,470,833
E01027716,32183,10,32808,32262,32382,32111,32596,9127,30004,32779,32832,32669,31147,3113,29070,30120,22075,1481,274,678,529,681
E01027598,32163,10,31024,26694,29122,28550,30914,26644,27178,30013,31797,27073,29250,11497,32487,23911,24220,1755,193,709,853,720
E01027624,32119,10,29648,27512,32244,28062,32514,19367,31447,25772,31792,32224,31216,6644,32788,31532,24830,1206,150,612,444,616
E01013379,32089,10,30214,31164,32172,27147,32469,24815,17980,27886,29162,31938,31312,12166,26732,14583,18551,1478,252,814,412,826
E01013375,32043,10,31897,29692,27880,25091,32640,25339,23102,32580,31828,28739,25185,12117,27952,18410,24592,1277,155,576,546,620
E01027675,31971,10,30653,28261,28701,30742,31143,24202,21322,30113,31496,26757,28695,11251,27576,16518,24036,2456,500,1307,649,1310
E01013354,31965,10,32032,31877,28278,30700,29767,12663,28993,32646,30920,26680,27894,4074,31412,30935,18298,1350,181,758,411,791
E01013054,31893,10,28548,28508,23511,29292,31003,26155,31114,27783,25306,21657,23694,15672,23023,29483,27046,1962,423,1118,421,1103
E01013420,31873,10,29950,31823,22721,29402,32404,21149,25998,26035,29225,21120,22774,11159,22493,25149,19011,2150,342,1271,537,1266
E01013439,31860,10,31356,30758,31863,26240,32560,13045,29038,32046,29308,31939,30564,4631,28811,25566,26952,1421,291,833,297,823
E01013377,31850,10,31268,28797,27614,25487,31791,26316,22287,32759,28069,27454,25861,12121,30037,18715,21467,1612,255,847,510,870
E01027768,31762,10,29916,28441,30916,23191,32724,18967,31933,28798,30648,31817,28487,7252,29389,32058,26142,1117,185,568,364,567
E01013376,31705,10,30405,26023,28091,24942,31913,26007,28369,31868,30522,29353,25025,12010,29592,24903,25993,1432,211,648,573,685
E01013387,31695,10,32092,31467,31238,23977,31934,16536,22245,32716,31073,32039,29046,6196,28699,21410,16309,1389,220,638,531,659
E01027914,31630,10,30057,28731,25204,27645,23121,29441,27164,27136,29628,23375,25208,14776,32639,22455,27398,1730,264,937,529,950
E01027732,31579,10,31568,28120,32720,28782,25718,28284,14742,31908,32167,32598,32367,20278,21328,13207,12853,1306,208,686,412,662
E01027722,31533,10,32470,32512,27877,30523,31810,8440,29394,31695,31560,26132,27697,2863,29055,27578,24259,1484,364,904,216,902
E01027606,31435,10,28985,23650,26278,26249,32061,28988,31711,27401,30349,22875,28030,14640,31477,29924,28891,1528,224,728,576,754
E01027721,31410,10,31080,30509,27853,28654,30023,11787,30138,29102,29922,28477,25371,5227,23154,27652,26729,1543,295,917,331,913
E01013413,31395,10,32191,31592,31939,30889,24212,30467,8835,32402,30541,31331,31329,25067,21584,5940,17809,1750,334,1107,309,1107
E01027719,31383,10,30323,26697,29568,28591,32610,14188,30837,32772,29441,26765,30544,5599,26393,29043,26749,1405,258,711,436,690
E01027712,31373,10,29055,29384,24898,30435,32648,14094,31801,23157,30443,22374,25681,5605,26195,29037,31068,1690,299,1079,312,1054
E01027717,31365,10,31183,30499,31499,28327,32274,27202,10030,31963,28130,31314,30285,13767,28459,6152,21995,1540,370,793,377,797
E01027670,31358,10,30592,29239,27117,29064,32646,15558,24174,31365,29850,26146,26155,6689,24714,19307,25628,1564,280,825,459,847
E01027718,31352,10,27132,27246,30921,31866,30606,14898,30772,26144,31031,28953,31318,6548,24031,31168,22997,1891,430,927,534,940
E01027639,31273,10,30281,29071,23900,26350,30364,19830,28170,31896,31152,25129,21110,9940,22939,24214,26740,1244,207,652,385,660
E01013378,31263,10,32814,32839,30668,29819,32820,9001,20085,27682,26508,27765,32011,8818,10727,13261,31087,5542,184,5073,285,4941
E01013351,31231,10,31846,31148,29311,29478,31784,10430,23374,32292,30830,29344,27361,3579,29059,22395,17199,1936,295,884,757,896
E01013436,31191,10,31871,31907,25425,29490,31618,9987,27956,31808,28011,20825,28780,3363,29485,24971,24489,1739,393,1000,346,1006
E01013355,31160,10,30987,27389,28420,29453,30134,17808,21621,30598,31790,29871,25162,7835,25138,18209,20629,1796,232,866,698,902
E01013352,31145,10,25426,24665,26775,26194,32726,32557,29128,29174,24454,26477,25183,31528,25761,26783,24900,1678,329,703,646,737
E01013361,31136,10,30394,31300,29004,29025,31220,27464,9997,24288,28401,24651,31841,22517,17870,6664,18741,1989,246,1458,285,1444
E01013360,31125,10,30853,31339,22865,27576,32308,27292,14242,32236,17075,17759,27426,23300,17002,9131,24206,1913,469,1191,253,1166
E01027899,31108,10,26023,27385,29055,29067,30072,28895,19690,25558,24387,27920,28231,13933,32763,13188,29681,1768,368,998,402,1005
E01027596,31018,10,28369,25420,27216,26489,32467,24466,25166,30389,29145,24133,28593,11496,27535,18549,31478,1454,180,607,667,640
E01027697,30975,10,28569,27118,30027,27708,32208,31288,13172,28679,28842,28015,30207,23863,25578,8887,20882,1453,324,802,327,789
E01013358,30828,10,30877,31287,31841,28210,32027,12495,16250,31114,30391,31839,30597,4266,29737,13502,16087,1550,267,864,419,884
E01013380,30770,10,27524,29080,29099,21870,29195,30419,18694,28142,19966,28069,28160,32513,16510,16076,17115,1986,239,1396,351,1369
E01027618,30707,10,29824,29159,31497,32207,31094,12172,17552,30865,29430,32234,29417,3823,31950,12418,23739,2413,344,1127,942,1159
E01013432,30696,10,31459,30947,23041,30755,31897,11091,23890,30336,30340,21207,23314,4342,25915,21581,19787,2109,436,1187,486,1173
E01027638,30684,10,25507,28117,24569,26806,29293,30404,22209,23625,26857,26096,21454,22612,23745,17565,24086,1381,214,718,449,720
E01027730,30679,10,28664,27987,32205,30710,27772,24865,12015,30616,28162,32100,31224,19115,17142,11525,9969,1517,261,878,378,868
E01027709,30668,10,29968,29240,23861,24802,20414,24268,28512,29210,30439,26475,19957,10755,28949,24580,27237,1157,173,553,431,571
E01013061,30662,10,25753,27010,23920,24806,32673,23900,31455,31103,19847,26849,19788,13618,22330,29247,28911,1594,244,832,518,856
