"period","practice_code","lsoa","population"
"2021-07-01","All","E01011297",378
"2021-07-01","All","E01011298",1171
"2021-07-01","All","E01011299",51
"2021-07-01","All","E01011697",40
"2021-07-01","All","E01011707",33
"2021-07-01","All","E01011709",25
"2021-07-01","All","E01011710",52
"2021-07-01","All","E01011711",26
"2021-07-01","All","E01011712",105
"2021-07-01","All","E01012922",23
"2021-07-01","All","E01012981",33
"2021-07-01","All","E01013022",128
"2021-07-01","All","E01013023",49
"2021-07-01","All","E01013052",2700
"2021-07-01","All","E01013053",1802
"2021-07-01","All","E01013054",2270
"2021-07-01","All","E01013055",1728
"2021-07-01","All","E01013056",1580
"2021-07-01","All","E01013057",1696
"2021-07-01","All","E01013058",1454
"2021-07-01","All","E01013059",1712
"2021-07-01","All","E01013060",2271
"2021-07-01","All","E01013061",1591
"2021-07-01","All","E01013119",1281
"2021-07-01","All","E01013120",152
"2021-07-01","All","E01013121",55
"2021-07-01","All","E01013122",1016
"2021-07-01","All","E01013123",57
"2021-07-01","All","E01013124",65
"2021-07-01","All","E01013125",174
"2021-07-01","All","E01013126",1821
"2021-07-01","All","E01013127",1567
"2021-07-01","All","E01013335",1764
"2021-07-01","All","E01013336",1595
"2021-07-01","All","E01013337",1711
"2021-07-01","All","E01013338",2382
"2021-07-01","All","E01013339",1575
"2021-07-01","All","E01013340",1421
"2021-07-01","All","E01013341",1398
"2021-07-01","All","E01013342",1496
"2021-07-01","All","E01013343",1749
"2021-07-01","All","E01013344",1595
"2021-07-01","All","E01013345",1772
"2021-07-01","All","E01013346",1778
"2021-07-01","All","E01013347",1739
"2021-07-01","All","E01013348",2085
"2021-07-01","All","E01013349",1530
"2021-07-01","All","E01013350",1737
"2021-07-01","All","E01013351",1989
"2021-07-01","All","E01013352",1769
"2021-07-01","All","E01013353",1661
"2021-07-01","All","E01013354",1381
"2021-07-01","All","E01013355",1714
"2021-07-01","All","E01013356",1438
"2021-07-01","All","E01013357",2563
"2021-07-01","All","E01013358",1624
"2021-07-01","All","E01013359",1672
"2021-07-01","All","E01013360",1901
"2021-07-01","All","E01013361",1799
"2021-07-01","All","E01013362",1821
"2021-07-01","All","E01013363",3379
"2021-07-01","All","E01013364",1921
"2021-07-01","All","E01013365",3077
"2021-07-01","All","E01013366",2085
"2021-07-01","All","E01013368",2055
"2021-07-01","All","E01013369",2078
"2021-07-01","All","E01013370",1491
"2021-07-01","All","E01013371",1490
"2021-07-01","All","E01013372",1649
"2021-07-01","All","E01013373",1620
"2021-07-01","All","E01013374",1592
"2021-07-01","All","E01013375",1299
"2021-07-01","All","E01013376",1510
"2021-07-01","All","E01013377",1676
"2021-07-01","All","E01013378",8953
"2021-07-01","All","E01013379",1459
"2021-07-01","All","E01013380",1803
"2021-07-01","All","E01013381",1535
"2021-07-01","All","E01013382",1659
"2021-07-01","All","E01013383",2395
"2021-07-01","All","E01013384",1595
"2021-07-01","All","E01013385",1494
"2021-07-01","All","E01013386",1823
"2021-07-01","All","E01013387",1620
"2021-07-01","All","E01013388",952
"2021-07-01","All","E01013389",1260
"2021-07-01","All","E01013390",1606
"2021-07-01","All","E01013391",2000
"2021-07-01","All","E01013392",1708
"2021-07-01","All","E01013393",1549
"2021-07-01","All","E01013394",1479
"2021-07-01","All","E01013395",1512
"2021-07-01","All","E01013396",1639
"2021-07-01","All","E01013397",1588
"2021-07-01","All","E01013398",1577
"2021-07-01","All","E01013399",1873
"2021-07-01","All","E01013400",1811
"2021-07-01","All","E01013401",1534
"2021-07-01","All","E01013402",1740
"2021-07-01","All","E01013403",1617
"2021-07-01","All","E01013404",1750
"2021-07-01","All","E01013405",1399
"2021-07-01","All","E01013406",2118
"2021-07-01","All","E01013407",1536
"2021-07-01","All","E01013408",1306
"2021-07-01","All","E01013409",1923
"2021-07-01","All","E01013410",1466
"2021-07-01","All","E01013411",1507
"2021-07-01","All","E01013412",2242
"2021-07-01","All","E01013413",1706
"2021-07-01","All","E01013414",1796
"2021-07-01","All","E01013416",1609
"2021-07-01","All","E01013417",2091
"2021-07-01","All","E01013418",1577
"2021-07-01","All","E01013419",2759
"2021-07-01","All","E01013420",2025
"2021-07-01","All","E01013421",1300
"2021-07-01","All","E01013422",1778
"2021-07-01","All","E01013423",1332
"2021-07-01","All","E01013424",1338
"2021-07-01","All","E01013425",1621
"2021-07-01","All","E01013426",1675
"2021-07-01","All","E01013427",1488
"2021-07-01","All","E01013428",1797
"2021-07-01","All","E01013429",2136
"2021-07-01","All","E01013430",1561
"2021-07-01","All","E01013431",2158
"2021-07-01","All","E01013432",1966
"2021-07-01","All","E01013433",1425
"2021-07-01","All","E01013434",1569
"2021-07-01","All","E01013435",1441
"2021-07-01","All","E01013436",1610
"2021-07-01","All","E01013437",1325
"2021-07-01","All","E01013438",2086
"2021-07-01","All","E01013439",1470
"2021-07-01","All","E01013440",1879
"2021-07-01","All","E01013441",1598
"2021-07-01","All","E01013442",1548
"2021-07-01","All","E01013443",1759
"2021-07-01","All","E01013444",1627
"2021-07-01","All","E01013445",1717
"2021-07-01","All","E01013446",1751
"2021-07-01","All","E01013447",1680
"2021-07-01","All","E01013448",1529
"2021-07-01","All","E01013449",1726
"2021-07-01","All","E01013450",1287
"2021-07-01","All","E01013451",1325
"2021-07-01","All","E01013452",1706
"2021-07-01","All","E01027594",1915
"2021-07-01","All","E01027595",1725
"2021-07-01","All","E01027596",1575
"2021-07-01","All","E01027600",760
"2021-07-01","All","E01027601",1950
"2021-07-01","All","E01027619",2061
"2021-07-01","All","E01027622",1842
"2021-07-01","All","E01027627",42
"2021-07-01","All","E01027634",2074
"2021-07-01","All","E01027635",30
"2021-07-01","All","E01027636",534
"2021-07-01","All","E01027683",21
"2021-07-01","All","E01027684",309
"2021-07-01","All","E01027696",1892
"2021-07-01","All","E01027774",318
"2021-07-01","All","E01027775",212
"2021-07-01","All","E01027776",1545
"2021-07-01","All","E01027777",1288
"2021-07-01","All","E01027778",530
"2021-07-01","All","E01027780",1937
"2021-07-01","All","E01027781",1208
"2021-07-01","All","E01027782",625
