period,practice_code,lsoa,population
01/07/2020,B81036,E01012922,25
01/07/2020,B81036,E01012981,33
01/07/2020,B81036,E01013023,29
01/07/2020,B81036,E01013052,2435
01/07/2020,B81036,E01013053,1621
01/07/2020,B81036,E01013054,2364
01/07/2020,B81036,E01013055,1590
01/07/2020,B81036,E01013056,1635
01/07/2020,B81036,E01013057,555
01/07/2020,B81036,E01013058,1282
01/07/2020,B81036,E01013059,827
01/07/2020,B81036,E01013060,51
01/07/2020,B81036,E01013061,29
01/07/2020,B81036,E01013119,1174
01/07/2020,B81036,E01013120,149
01/07/2020,B81036,E01013121,45
01/07/2020,B81036,E01013122,894
01/07/2020,B81036,E01013123,56
01/07/2020,B81036,E01013124,73
01/07/2020,B81036,E01013125,160
01/07/2020,B81036,E01013126,1120
01/07/2020,B81036,E01013127,797
01/07/2020,B81036,E01027803,22
01/07/2020,B82002,E01027594,1688
01/07/2020,B82002,E01027595,1420
01/07/2020,B82002,E01027596,1312
01/07/2020,B82002,E01027600,602
01/07/2020,B82002,E01027601,426
01/07/2020,B82002,E01027619,302
01/07/2020,B82002,E01027622,409
01/07/2020,B82002,E01027634,536
01/07/2020,B82002,E01027635,32
01/07/2020,B82002,E01027636,490
01/07/2020,B82005,E01013335,491
01/07/2020,B82005,E01013336,311
01/07/2020,B82005,E01013337,372
01/07/2020,B82005,E01013338,1041
01/07/2020,B82005,E01013339,453
01/07/2020,B82005,E01013340,93
01/07/2020,B82005,E01013341,127
01/07/2020,B82005,E01013342,72
01/07/2020,B82005,E01013343,214
01/07/2020,B82005,E01013344,141
01/07/2020,B82005,E01013345,291
01/07/2020,B82005,E01013346,333
01/07/2020,B82005,E01013347,541
01/07/2020,B82005,E01013348,450
01/07/2020,B82005,E01013349,756
01/07/2020,B82005,E01013350,637
01/07/2020,B82005,E01013351,88
01/07/2020,B82005,E01013352,78
01/07/2020,B82005,E01013353,466
01/07/2020,B82005,E01013354,279
01/07/2020,B82005,E01013355,262
01/07/2020,B82005,E01013356,302
01/07/2020,B82005,E01013357,554
01/07/2020,B82005,E01013358,296
01/07/2020,B82005,E01013359,581
01/07/2020,B82005,E01013360,1296
