Key,practiceCode,LSOA,activityUnique,activityTotal,DSR,Signf
AE_01,All,E01013335,335,633,238,1
AE_01,All,E01013336,244,405,161,1
AE_01,All,E01013337,268,435,159,1
AE_01,All,E01013338,389,639,160,1
AE_01,All,E01013339,232,357,167,1
AE_01,All,E01013340,177,269,130,0
AE_01,All,E01013341,204,322,155,1
AE_01,All,E01013342,222,332,145,1
AE_01,All,E01013343,312,506,176,1
AE_01,All,E01013344,209,338,159,1
AE_01,All,E01013345,311,555,181,1
AE_01,All,E01013346,306,526,180,1
AE_01,All,E01013347,378,707,242,1
AE_01,All,E01013348,339,656,200,1
AE_01,All,E01013349,346,647,264,1
AE_01,All,E01013350,361,737,229,1
AE_01,All,E01013351,343,663,165,1
AE_01,All,E01013352,244,362,140,1
AE_01,All,E01013353,303,535,187,1
AE_01,All,E01013354,155,260,128,0
AE_01,All,E01013355,234,387,121,0
AE_01,All,E01013356,224,360,159,1
AE_01,All,E01013357,331,556,147,1
AE_01,All,E01013358,211,396,146,1
AE_01,All,E01013359,265,518,165,1
AE_01,All,E01013360,229,409,140,1
AE_01,All,E01013361,229,344,135,0
AE_01,All,E01013362,287,513,148,1
AE_01,All,E01013363,390,813,154,1
AE_01,All,E01013364,311,625,187,1
AE_01,All,E01013365,461,836,142,1
AE_01,All,E01013366,344,649,203,1
AE_01,All,E01013368,341,583,175,1
AE_01,All,E01013369,323,634,169,1
AE_01,All,E01013370,263,484,154,1
AE_01,All,E01013371,164,228,109,0
AE_01,All,E01013372,302,547,155,1
AE_01,All,E01013373,284,578,189,1
AE_01,All,E01013374,240,417,155,1
AE_01,All,E01013375,174,351,157,1
AE_01,All,E01013376,222,371,158,1
AE_01,All,E01013377,238,391,143,1
AE_01,All,E01013378,530,797,94,-1
AE_01,All,E01013379,216,334,144,1
AE_01,All,E01013380,235,407,135,0
AE_01,All,E01013381,267,463,162,1
AE_01,All,E01013382,299,541,190,1
AE_01,All,E01013383,426,832,186,1
AE_01,All,E01013384,308,558,193,1
AE_01,All,E01013385,267,526,194,1
AE_01,All,E01013386,421,764,247,1
AE_01,All,E01013387,240,396,161,1
AE_01,All,E01013388,139,221,127,0
AE_01,All,E01013389,181,277,163,1
AE_01,All,E01013390,261,540,185,1
AE_01,All,E01013391,285,471,150,1
AE_01,All,E01013392,272,440,156,1
AE_01,All,E01013393,249,428,165,1
AE_01,All,E01013394,285,503,203,1
AE_01,All,E01013395,200,330,143,1
AE_01,All,E01013396,265,473,160,1
AE_01,All,E01013397,225,375,156,1
AE_01,All,E01013398,238,435,188,1
AE_01,All,E01013399,410,733,262,1
AE_01,All,E01013400,217,363,155,0
AE_01,All,E01013401,228,404,167,1
AE_01,All,E01013402,238,419,128,0
AE_01,All,E01013403,253,434,174,1
AE_01,All,E01013404,354,722,220,1
AE_01,All,E01013405,227,452,170,1
AE_01,All,E01013406,375,654,184,1
AE_01,All,E01013407,258,462,154,1
AE_01,All,E01013408,218,370,159,1
AE_01,All,E01013409,348,591,190,1
AE_01,All,E01013410,296,591,223,1
AE_01,All,E01013411,269,480,162,1
AE_01,All,E01013412,332,578,180,1
AE_01,All,E01013413,199,326,117,0
AE_01,All,E01013414,228,360,119,0
AE_01,All,E01013416,297,605,199,1
AE_01,All,E01013417,245,392,143,1
AE_01,All,E01013418,246,445,176,1
AE_01,All,E01013419,492,955,185,1
AE_01,All,E01013420,289,493,135,0
AE_01,All,E01013421,183,279,118,0
AE_01,All,E01013422,240,388,133,0
AE_01,All,E01013423,155,220,120,0
AE_01,All,E01013424,168,215,139,0
AE_01,All,E01013425,213,310,141,1
AE_01,All,E01013426,252,478,157,1
AE_01,All,E01013427,183,291,127,0
AE_01,All,E01013428,296,502,194,1
AE_01,All,E01013429,333,589,192,1
AE_01,All,E01013430,274,489,218,1
AE_01,All,E01013431,358,667,205,1
AE_01,All,E01013432,288,431,138,1
AE_01,All,E01013433,210,350,152,1
AE_01,All,E01013434,219,387,143,1
AE_01,All,E01013435,250,396,191,1
AE_01,All,E01013436,225,372,135,0
AE_01,All,E01013437,196,318,152,1
AE_01,All,E01013438,331,557,171,1
AE_01,All,E01013439,183,291,165,1
AE_01,All,E01013440,283,445,156,1
AE_01,All,E01013441,256,392,160,1
AE_01,All,E01013442,267,444,192,1
AE_01,All,E01013443,383,749,243,1
AE_01,All,E01013444,318,568,227,1
AE_01,All,E01013445,315,564,194,1
AE_01,All,E01013446,319,552,198,1
AE_01,All,E01013447,279,484,192,1
AE_01,All,E01013448,293,500,216,1
AE_01,All,E01013449,284,485,178,1
AE_01,All,E01013450,168,254,135,0
AE_01,All,E01013451,170,255,146,1
AE_01,All,E01013452,198,297,127,0
AE_01,All,E01033067,293,542,188,1
AE_01,All,E01033068,145,255,127,0
AE_01,All,E01033070,319,540,119,0
AE_01,All,E01033069,155,246,138,0
AE_01,All,E01019761,1,1,0,0
AE_01,All,E01022024,1,1,0,0
AE_01,All,E01004677,1,1,0,0
AE_01,All,E01027876,186,254,129,0
AE_01,All,E01027897,242,306,107,0
AE_01,All,E01027622,248,390,130,0
AE_01,All,E01027800,152,234,93,-1
AE_01,All,E01027907,207,317,158,1
AE_01,All,E01027895,158,217,107,0
AE_01,All,E01027905,303,493,122,0
AE_01,All,E01027909,313,562,142,1
AE_01,All,E01027884,165,256,106,0
AE_01,All,E01027910,485,672,125,0
AE_01,All,E01027885,134,191,80,-1
AE_01,All,E01013126,220,320,109,0
AE_01,All,E01027799,254,388,156,1
AE_01,All,E01027903,158,214,124,0
AE_01,All,E01027619,324,537,121,0
