RowNo,gp_practice
1,A91035
2,A91100
3,A91170
4,A91194
5,A91212
6,B81002
7,B81004
8,B81005
9,B81006
10,B81007
11,B81008
12,B81009
13,B81010
14,B81011
15,B81013
16,B81014
17,B81017
18,B81018
19,B81020
20,B81021
21,B81022
22,B81024
23,B81025
24,B81026
25,B81027
26,B81029
27,B81032
28,B81034
29,B81035
30,B81036
31,B81037
32,B81038
33,B81040
34,B81041
35,B81042
36,B81043
37,B81044
38,B81045
39,B81046
40,B81047
41,B81048
42,B81049
43,B81050
44,B81051
45,B81052
46,B81053
47,B81054
48,B81056
49,B81057
50,B81058
51,B81060
52,B81061
53,B81062
54,B81063
55,B81064
56,B81065
57,B81066
58,B81068
59,B81069
60,B81070
61,B81072
62,B81074
63,B81075
64,B81080
65,B81081
66,B81082
67,B81084
68,B81085
69,B81088
70,B81089
71,B81090
72,B81092
73,B81094
74,B81095
75,B81097
76,B81099
77,B81100
78,B81101
79,B81104
80,B81109
81,B81112
82,B81113
83,B81118
84,B81119
85,B81120
86,B81121
87,B81602
88,B81616
89,B81617
90,B81619
91,B81622
92,B81628
93,B81631
94,B81634
95,B81635
96,B81644
97,B81645
98,B81647
99,B81648
100,B81653
101,B81658
102,B81666
103,B81674
104,B81675
105,B81679
106,B81682
107,B81683
108,B81685
109,B81688
110,B81692
111,B82001
112,B82002
113,B82004
114,B82005
115,B82008
116,B82010
117,B82011
118,B82012
119,B82013
120,B82014
121,B82016
122,B82017
123,B82018
124,B82019
125,B82021
126,B82022
127,B82023
128,B82024
129,B82025
130,B82026
131,B82027
132,B82029
133,B82030
134,B82031
135,B82032
136,B82033
137,B82034
138,B82035
139,B82036
140,B82037
141,B82038
142,B82041
143,B82042
144,B82044
145,B82045
146,B82046
147,B82047
148,B82049
149,B82050
150,B82054
151,B82057
152,B82058
153,B82059
154,B82060
155,B82062
156,B82063
157,B82064
158,B82066
159,B82067
160,B82068
161,B82069
162,B82071
163,B82072
164,B82073
165,B82074
166,B82075
167,B82077
168,B82078
169,B82079
170,B82080
171,B82081
172,B82083
173,B82086
174,B82088
175,B82091
176,B82092
177,B82097
178,B82098
179,B82100
180,B82101
181,B82102
182,B82103
183,B82104
184,B82105
185,B82106
186,B82609
187,B82611
188,B82619
189,B82622
190,B82623
191,B82628
192,DC to NH no letters
193,NO GP
194,V81998
195,V81999
196,Y00002
197,Y00003
198,Y00005
199,Y00006
200,Y00007
201,Y00008
202,Y00010
203,Y00011
204,Y00955
205,Y01200
206,Y02344
207,Y02656
208,Y02669
209,Y02747
210,Y02748
211,Y02786
212,Y02787
213,Y02896
214,Y03139
215,Y04995
216,Y05008
217,Y05349
218,Z00103
219,Z00166
220,Z00601
